Intake,Price
20,1
24,1
31,1
34,1
37,1
39,1
41,1
41,1
49,1
52,1
56,1
58,1
60,1
62,1
66,1
70,1
88,1
88,1
89,1
90,1
94,1
94,1
102,1
109,1
109,1
117,1
118,1
123,1
125,1
129,1
131,1
133,1
135,1
135,1
137,1
138,1
139,1
140,1
140,1
142,1
143,1
143,1
146,1.033895114
151,1.123744786
152,1.142630812
154,1.181360413
155,1.201214746
155,1.201214746
156,1.221402758
160,1.305605172
161,1.327547604
166,1.442916867
167,1.467167004
168,1.491824698
172,1.594669758
172,1.594669758
172,1.594669758
178,1.762382641
180,1.8221188
183,1.915540829
184,1.947734041
185,1.980468303
188,2.082009084
188,2.082009084
188,2.082009084
194,2.300975891
196,2.37896773
200,2.542971638
201,2.585709659
201,2.585709659
202,2.62916595
204,2.718281828
210,3.004166024
213,3.15819291
219,3.490342957
220,3.549002814
220,3.549002814
222,3.669296668
222,3.669296668
228,4.055199967
228,4.055199967
229,4.123352997
231,4.263114515
239,4.871165999
250,5.85131643
250,5.85131643
263,7.266925744
263,7.266925744
263,7.266925744
292,11.7831043
304,14.3919161
